id,productname,productprice,salespersonid,legalpersonid,developerid,testerid,hrid
1,Smartphones,-600,45,89,2,6,5
2,Computer,500,400,45,4,12,7
3,Laptop,500,7,35,6,67,3
4,Wacom Tablet ,700,3,46,8,34,4
5,Bluetooth Speakers,500,5,78,10,57,7
6,Television,600,100,56,12,34,5
7,SmartWatches,800,500,345,14,120,2
8,Tablet,700,50,465,16,330,6
9,Video Players,300,30,567,18,23,4
10,Calculators ,400,5,765,20,34,3
11,Mobile Phones,500,50,879,22,56,8
12,Telephone,400,70,555,24,78,3
13,Landline Phone,200,20,234,26,98,5
14,Radios,100,30,345,28,90,6
15,Wakie-Talkies,450,23,333,30,10,7
16,Routers,670,700,234,32,34,4
17,Modems,890,50,254,34,20,8
18,Gaming Coonsoles,670,400,213,36,23,3
19,Music Players,450,7,346,38,30,2
20,E-readers,340,3,764,40,40,5
21,Kindle,750,5,768,42,50,3
22,Projector,670,100,423,44,55,7
23,Refrigerator,340,500,986,46,34,6
24,WashingMachine,250,50,999,48,45,4
25,Dryers,450,30,123,50,35,4
26,Ovens,760,5,45,52,26,6
27,Microwaves,160,50,32,54,27,8
28,Air Conditioner,2000,70,78,56,28,5
29,Cameras,450,20,45,58,49,3
30,Drone,125,30,12,60,459,5
31,Virtual Reality Headsets,500,23,345,62,678,5
32,Fitness Trackers,300,700,123,64,678,7
33,Headphones ,400,50,100,66,789,3
34,Earpods,500,50,125,68,697,4
35,Blutooth Headphones,600,400,135,70,457,7
36,Speakers,700,7,167,72,567,5
37,Power Bank,700,3,175,74,466,2
38,External Hard Dirves,300,5,197,76,55,6
39,Printers,500,100,789,78,367,4
40,Scanners,500,500,987,80,45,3
41,Proector,700,50,678,82,36,8
42,Electronic toothbrushes,500,30,567,84,457,3
43,Pocket cameras,600,5,453,86,33,5
44,ATM,800,50,34,88,4,6
45,Sensors,700,70,56,90,5,7
46,Smartphones,300,20,76,92,6,4
47,Computer,400,30,35,94,7,8
48,Laptop,500,23,78,96,67,3
49,Wacom Tablet ,400,700,570,98,50,2
50,Bluetooth Speakers,200,50,98,100,67,5
51,Television,100,400,90,102,46,3
52,SmartWatches,450,7,70,104,235,7
53,Tablet,670,3,679,106,670,6
54,Video Players,890,5,3,108,457,4
55,Calculators ,670,100,6,110,234,4
56,Mobile Phones,450,500,8,112,560,6
57,Telephone,340,50,5,114,230,8
58,Landline Phone,750,30,9,116,43,5
59,Radios,670,5,3,118,104,3
60,Wakie-Talkies,340,50,5,120,923,5
61,Routers,250,70,2,122,345,5
62,Modems,450,20,7,124,230,7
63,Gaming Coonsoles,760,30,90,126,456,3
64,Music Players,160,23,120,128,1,4
65,E-readers,2000,700,345,130,23,7
66,Kindle,450,50,456,132,234,5
67,Projector,125,50,678,134,45,2
68,Refrigerator,500,400,347,136,345,6
69,WashingMachine,300,7,70,138,567,4
70,Dryers,400,3,72,140,409,3
71,Ovens,500,5,48,142,679,8
72,Microwaves,600,100,32,144,567,3
73,Air Conditioner,700,500,20,146,67,5
74,Cameras,700,50,34,148,34,6
75,Drone,300,30,45,150,54,7
